A,B,C
258,269,63
251,274,62
241,270,63
240,265,60
234,254,59
237,250,59
230,244,58
226,279,56
218,312,55
219,317,56
210,319,56
198,314,55
193,308,53
187,301,55
178,295,55
172,291,54
167,284,53
160,290,52
156,319,52
151,335,53
150,319,54
144,313,54
143,306,59
140,303,61
145,297,61
133,288,60
130,302,58
129,308,60
124,300,61
121,291,72
123,284,67
120,286,84
124,301,92
120,299,94
126,308,96
116,308,94
112,299,96
113,293,94
111,280,94
110,275,91
108,277,91
104,293,91
117,300,89
133,312,91
155,321,88
169,325,90
192,333,95
191,365,98
222,370,103
222,372,104
235,363,108
227,364,108
222,360,103
259,347,100
289,336,98
313,326,99
311,322,96
312,316,93
312,312,95
304,313,94
329,322,97
352,332,97
361,326,99
388,329,102
386,314,102
375,315,99
369,345,98
352,353,97
338,361,96
324,355,92
308,357,92
295,347,89
288,349,92
273,356,89
260,351,88
251,346,91
234,352,88
232,340,96
223,327,96
214,319,94
205,344,94
197,345,100
191,353,110
182,346,111
179,334,122
176,334,130
170,332,126
165,345,124
162,347,128
161,335,133
157,329,140
152,344,142
147,355,140
143,361,138
144,373,136
134,380,135
136,364,133
129,361,129
126,356,128
123,356,126
120,354,125
118,361,122
114,358,124
110,353,123
107,369,124
106,367,124
113,369,123
120,368,118
134,375,119
134,361,118
146,352,114
136,343,113
147,337,114
144,335,111
164,334,110
178,327,110
179,348,110
189,377,110
188,446,113
199,449,114
214,481,115
219,517,111
224,523,108
221,577,106
214,580,106
207,572,111
197,550,107
190,532,109
183,527,107
189,522,108
171,519,107
166,520,108
162,499,105
156,477,105
155,468,110
146,452,112
141,430,112
136,424,116
133,425,115
128,424,120
124,412,124
121,409,125
116,403,127
113,396,121
114,382,122
113,379,121
113,397,121
110,392,120
119,380,116
107,406,114
106,392,111
102,379,108
100,376,114
98,385,111
94,385,113
93,390,115
90,380,116
88,364,117
89,355,115
86,342,114
83,324,113
81,328,107
80,311,104
81,305,103
105,309,104
126,328,106
156,341,107
158,331,109
158,326,105
159,353,109
163,367,111
162,365,108
163,372,110
170,366,104
177,358,102
171,345,100
170,339,99
171,328,97
182,321,95
180,320,91
173,321,90
167,354,88
164,357,88
161,384,85
155,388,82
148,405,83
143,404,86
139,398,80
135,398,80
130,408,80
127,409,78
125,398,77
123,390,75
118,381,76
115,381,82
111,406,86
114,411,93
109,411,90
105,398,92
105,388,101
103,414,124
112,432,136
118,455,140
119,455,147
122,452,149
119,434,152
114,419,157
112,404,160
108,391,161
104,374,167
105,366,161
100,354,156
98,346,154
