A,B,C
101,128,158
99,126,155
98,126,149
97,126,145
94,131,142
95,129,141
95,130,138
94,129,136
91,131,134
89,132,132
88,136,134
87,134,142
88,137,142
86,142,141
86,143,137
86,143,133
84,148,130
81,150,125
81,149,123
81,148,121
79,150,116
80,152,112
77,156,111
78,155,112
77,157,111
75,160,106
74,162,108
72,161,104
74,161,103
72,163,98
70,162,98
69,168,97
69,168,93
68,170,90
67,172,85
65,175,85
60,176,83
64,180,80
62,179,81
62,181,80
61,187,80
61,191,81
60,192,78
61,191,77
58,194,75
57,196,73
57,196,72
58,198,69
57,199,66
57,203,65
55,204,64
55,204,63
56,204,61
55,211,62
56,215,64
54,216,60
55,217,58
53,216,56
54,218,56
54,224,59
52,224,59
53,220,64
52,220,63
51,223,58
52,229,60
56,233,57
52,233,55
52,236,53
51,237,54
52,233,51
53,239,55
54,238,56
53,241,56
54,241,54
52,241,55
53,243,53
53,243,52
53,247,49
52,242,51
53,240,47
52,242,44
52,243,45
53,243,45
52,240,46
53,240,45
52,240,43
52,242,41
52,243,40
52,243,40
51,237,39
51,240,37
50,240,37
50,242,36
50,239,35
49,239,37
50,237,38
52,240,38
50,239,36
48,240,36
49,239,36
50,235,34
50,234,35
52,231,35
53,231,34
52,229,36
50,229,36
52,227,35
57,227,34
47,227,33
52,227,29
52,226,33
52,221,34
52,222,34
52,220,37
52,223,37
51,221,39
52,216,40
52,215,40
52,215,39
53,217,39
53,214,39
54,216,42
52,213,44
54,215,43
54,213,48
54,211,57
54,211,60
54,210,60
54,213,58
55,211,57
56,210,55
56,213,53
55,214,51
54,209,50
56,210,53
56,210,52
56,211,49
55,211,47
57,209,48
57,202,54
58,207,56
57,208,60
56,208,64
56,208,64
57,205,62
57,205,62
56,204,59
58,206,57
58,204,60
58,203,61
59,200,61
58,200,58
59,202,60
59,202,63
58,202,61
58,203,59
57,202,61
58,201,59
59,204,59
60,202,54
58,203,54
57,201,54
57,199,54
57,202,50
58,199,48
62,194,48
62,188,46
64,182,46
67,185,46
66,191,48
68,187,46
67,184,58
66,185,109
65,186,122
65,190,123
63,193,127
62,194,125
65,197,119
73,198,118
71,208,117
72,219,115
70,226,117
70,231,122
72,228,128
72,225,126
72,217,123
70,215,126
70,222,134
68,237,146
68,231,148
74,227,147
83,227,146
82,242,143
82,252,144
82,279,149
82,298,150
88,290,148
86,300,143
84,292,143
85,285,140
92,276,138
90,266,149
91,263,141
90,259,135
86,263,134
84,259,131
81,260,126
80,258,125
78,253,124
77,260,122
75,253,120
77,249,116
71,243,118
70,241,117
71,240,116
71,235,114
69,234,110
68,230,109
64,228,107
67,222,106
66,218,103
65,214,102
65,213,100
62,208,99
62,208,98
61,209,95
60,217,95
59,213,92
58,209,90
58,212,89
58,221,89
57,217,92
57,214,92
56,212,95
56,208,104
56,209,103
55,208,106
54,208,102
53,201,105
53,198,104
52,202,103
53,199,105
53,199,100
52,197,97
54,195,95
54,194,93
54,190,90
53,189,94
52,184,100
52,186,101
52,192,100
51,186,100
55,210,98
57,207,95
58,203,92
58,197,92
57,202,90
56,201,87
56,196,86
62,193,84
68,193,82
65,187,80
64,199,78
64,196,77
63,195,75
62,197,74
60,194,73
60,194,70
59,192,69
57,192,69
57,191,66
58,187,64
57,188,65
55,187,64
57,186,69
54,183,68
53,184,66
54,184,66
51,187,66
53,186,63
54,182,62
54,181,60
52,184,60
52,188,58
53,188,55
52,187,55
53,187,55
52,194,54
52,193,53
51,192,51
53,193,49
55,190,49
55,191,47
53,199,46
53,198,43
55,199,44
53,198,43
53,196,42
54,193,45
55,194,45
56,198,46
53,198,50
54,198,48
53,199,48
54,198,45
53,197,46
53,198,51
52,202,45
52,204,43
52,208,42
55,206,42
55,201,39
56,197,39
58,196,38
60,191,37
58,196,36
61,201,35
76,201,35
80,204,35
86,209,37
87,209,48
88,213,55
88,210,69
84,203,81
87,196,95
86,196,94
86,198,90
87,196,93
86,191,88
85,194,89
79,192,91
84,188,96
83,187,96
79,186,95
78,184,93
77,185,89
76,189,85
76,184,85
75,181,82
76,175,79
76,171,81
77,166,74
77,167,73
76,167,72
84,167,69
86,166,70
88,170,65
85,177,66
85,174,65
81,170,63
80,168,61
80,177,60
77,173,59
