A,B,C
48,87,39
49,88,39
48,89,40
49,88,39
49,87,35
48,85,39
48,85,41
48,85,41
51,83,40
48,81,40
49,81,40
48,78,41
54,81,40
48,85,39
47,83,40
48,87,40
50,88,41
50,92,40
47,90,40
50,89,41
50,88,42
51,87,38
50,91,40
51,89,40
49,87,42
49,87,43
49,83,41
50,80,40
49,80,41
50,78,42
49,80,43
48,82,42
49,86,41
52,82,42
48,79,44
48,78,43
49,76,43
49,74,42
49,73,43
49,78,44
51,81,45
52,80,44
49,72,44
48,82,46
50,78,45
50,77,46
51,81,44
51,82,45
51,83,46
50,80,48
50,81,46
50,77,47
51,78,47
50,76,48
49,75,47
50,74,48
50,76,42
49,72,48
51,72,47
50,69,49
51,70,47
49,67,48
50,68,48
51,72,48
50,70,49
51,74,48
50,73,47
49,74,46
50,70,50
50,70,48
50,73,47
49,74,48
51,77,43
50,74,48
45,75,44
48,70,47
50,70,47
50,72,48
50,74,48
49,73,45
50,75,46
50,74,47
49,72,48
49,70,46
50,69,46
49,71,45
48,76,46
48,78,45
48,76,44
50,76,43
48,74,43
49,73,44
50,72,43
48,70,42
49,71,42
50,71,42
50,67,42
49,67,41
48,66,40
48,64,41
49,68,41
48,64,41
48,65,40
48,63,40
47,65,41
47,62,39
49,64,40
47,66,39
47,65,39
48,69,39
48,68,40
49,74,38
50,76,38
50,78,38
48,74,39
50,76,40
49,74,39
51,73,39
48,72,38
49,72,39
47,70,39
49,71,38
48,71,38
48,69,39
50,70,38
48,68,39
50,68,38
48,65,39
46,66,39
47,69,39
49,67,36
48,69,38
48,71,38
46,69,40
48,71,39
47,70,39
47,68,38
48,73,38
48,76,39
47,78,39
48,77,40
47,77,39
47,78,39
46,75,40
46,75,42
46,73,39
46,73,37
48,73,40
48,72,40
48,72,40
48,73,39
47,73,39
47,73,38
47,75,41
48,78,39
47,79,39
46,76,39
46,77,40
44,76,40
47,78,39
47,77,38
47,77,39
47,74,40
49,75,40
50,77,39
50,83,39
49,75,40
49,74,41
48,77,40
49,78,39
47,76,41
47,75,42
48,76,41
47,73,41
49,73,40
48,73,41
49,74,42
50,74,42
50,65,42
48,76,42
51,72,44
48,73,44
50,72,44
51,68,43
50,70,43
49,69,44
49,69,44
50,72,43
50,76,42
49,77,43
49,77,45
47,75,45
49,73,45
49,74,44
49,76,45
49,75,46
48,74,46
47,72,50
49,73,46
48,69,48
48,69,49
49,68,48
48,69,48
47,69,49
48,68,49
47,67,47
48,68,49
48,67,48
49,64,49
48,66,50
46,65,49
48,63,49
48,62,48
48,60,49
47,63,48
48,62,48
48,64,46
46,61,46
47,62,47
47,64,48
48,64,46
46,61,45
46,58,46
47,64,46
48,64,46
48,63,46
47,64,46
47,62,46
48,62,46
47,65,44
47,64,45
48,64,45
48,65,45
48,68,45
47,68,44
47,74,44
47,74,44
48,76,45
47,75,45
48,74,44
49,75,44
49,76,44
49,68,47
51,72,46
51,73,45
50,70,44
50,69,45
48,72,46
50,75,44
50,77,43
49,82,44
49,78,44
48,69,45
49,78,45
51,81,45
50,90,45
49,87,46
50,86,47
49,83,47
49,83,46
48,81,46
48,79,48
49,84,48
49,78,47
40,77,47
49,78,48
48,78,48
48,75,49
49,76,48
48,74,48
47,74,48
48,71,50
47,72,50
47,74,48
48,70,48
47,72,46
50,70,49
48,74,50
48,75,52
48,73,52
48,72,54
49,73,52
48,73,53
51,73,57
52,72,53
50,75,53
48,73,53
48,78,54
47,80,54
48,81,55
49,83,54
48,79,54
50,84,53
48,80,53
49,81,54
49,83,55
50,82,53
49,82,53
49,81,54
49,78,54
48,75,53
48,79,53
49,76,51
48,80,53
47,76,54
47,77,54
48,77,54
47,79,53
47,76,55
48,75,54
48,76,52
48,80,52
47,76,53
47,75,53
49,79,53
49,86,52
47,87,52
47,86,52
47,88,52
48,86,52
48,87,51
47,84,50
47,85,52
47,85,52
49,86,51
48,86,51
48,82,52
47,85,52
48,86,52
48,86,51
47,88,50
47,85,51
48,84,52
47,86,51
48,86,50
48,86,50
47,83,51
48,89,51
49,87,52
47,84,51
47,83,51
47,84,51
48,87,51
52,85,50
47,86,50
50,85,51
48,85,51
46,87,50
48,86,50
47,85,51
47,83,50
47,83,53
48,81,49
48,86,49
48,84,48
50,85,51
49,82,46
49,86,49
49,83,49
49,84,49
50,84,50
48,82,50
48,85,49
49,82,40
49,84,49
50,82,50
50,85,49
48,87,49
50,83,48
52,83,49
58,87,54
52,88,51
51,89,50
51,87,50
50,85,50
54,87,52
52,84,51
53,85,51
49,82,51
52,84,51
52,86,52
53,85,52
52,86,55
51,83,57
52,83,52
51,87,52
53,89,53
52,88,52
51,89,52
50,86,52
50,89,52
53,91,52
52,92,50
51,90,51
52,91,50
51,93,49
54,100,50
52,95,52
51,94,49
51,90,50
52,94,48
53,96,49
48,97,49
52,94,49
53,96,48
52,96,47
53,96,48
52,94,48
52,90,48
52,91,47
51,89,42
53,94,47
53,95,47
55,96,43
52,91,45
52,93,44
52,95,45
53,92,45
53,96,44
52,94,44
52,97,43
60,101,46
52,94,41
53,97,43
52,98,42
52,97,42
59,102,40
53,97,43
53,96,42
52,97,41
50,98,40
63,97,41
54,98,41
52,102,40
51,99,39
51,100,41
53,102,41
54,101,40
53,97,40
52,101,40
52,109,40
53,108,41
53,108,42
53,109,40
52,109,40
52,108,41
53,108,42
53,106,42
52,111,40
52,110,41
52,107,41
52,114,40
53,109,42
54,109,42
52,111,43
53,108,41
50,108,43
55,109,40
54,108,42
54,108,42
53,106,41
56,103,42
55,105,41
55,108,41
54,105,44
53,108,41
59,109,43
53,111,42
54,107,42
54,105,42
53,105,41
63,110,40
54,108,42
54,108,42
55,110,42
54,111,40
54,112,42
55,110,43
56,109,42
55,113,41
54,108,41
55,110,42
54,107,43
55,106,42
54,106,40
54,103,41
54,100,42
55,98,37
55,103,42
53,104,42
54,102,43
54,101,40
53,99,44
54,99,44
53,96,44
53,97,44
57,99,44
55,98,47
54,103,46
54,102,46
54,101,46
60,103,52
55,104,48
56,111,47
54,112,47
54,109,49
68,111,50
56,113,49
55,116,49
54,111,50
53,109,50
55,109,50
55,102,48
55,104,49
53,105,49
53,103,50
55,103,51
55,104,51
54,107,50
54,108,51
55,107,50
57,106,50
55,105,50
55,103,50
54,100,51
48,97,49
54,97,50
54,97,50
55,98,49
53,96,50
54,96,50
66,101,49
54,100,49
52,95,51
52,97,54
53,98,50
59,97,52
54,99,51
51,100,51
53,99,51
54,101,50
56,102,51
52,103,52
52,109,53
52,105,51
53,111,51
57,111,53
53,113,53
53,112,53
54,112,52
53,107,52
64,108,55
56,108,53
56,115,53
57,117,52
57,113,52
56,113,53
56,110,53
55,109,51
56,106,50
54,106,51
56,110,53
55,111,52
55,110,52
55,111,50
56,110,52
55,110,54
54,107,53
53,106,50
53,105,55
49,107,51
55,115,51
55,108,64
55,106,51
54,108,51
53,113,51
56,107,53
54,105,52
53,107,52
53,108,52
53,106,52
57,108,53
53,104,52
52,105,51
52,106,52
51,108,51
58,110,53
53,111,52
52,112,53
53,111,52
52,111,51
61,112,52
52,113,52
52,112,55
54,112,52
52,116,51
52,116,51
52,114,52
52,113,52
51,116,52
51,117,51
53,115,53
52,115,54
52,115,53
53,115,50
52,113,51
53,113,52
52,110,54
54,112,52
54,114,51
52,114,52
52,113,54
51,109,54
52,115,53
52,126,51
51,124,52
53,121,54
53,120,53
52,120,52
53,123,52
52,122,52
53,121,52
52,119,53
52,120,50
52,123,51
51,124,52
53,124,54
54,121,51
53,123,52
54,125,50
52,123,51
55,130,51
54,123,52
54,123,50
53,119,51
53,121,51
54,122,52
53,120,51
54,122,51
53,124,52
53,126,50
54,123,49
53,122,49
53,121,51
51,121,51
53,120,50
53,120,52
53,121,51
52,120,51
53,121,50
52,122,50
54,123,51
52,123,51
53,123,50
52,125,49
52,126,49
53,125,49
52,124,50
52,124,50
52,126,49
52,126,49
53,124,50
53,125,51
53,124,51
50,123,49
55,126,50
54,133,51
53,134,51
52,134,50
53,135,49
58,129,51
53,127,52
53,124,52
53,125,51
53,129,51
62,124,50
54,127,53
53,130,53
53,133,52
52,128,52
50,128,53
53,128,42
53,124,53
52,128,53
53,122,53
54,124,54
55,126,55
54,125,54
52,126,53
